Drug_ID,Protein_ID,KIBA_affinity
CHEMBL1971430,P17612,3.899999872
CHEMBL1969537,P36888,3.400000617
CHEMBL1987535,O43293,3.599999814
CHEMBL1972221,Q13237,3.199999125
CHEMBL491473,P29320,3.568201724
CHEMBL1789941,O14730,3.301029996
CHEMBL1979577,P00519,2.500003068
CHEMBL1289926,Q56UN5,2.431363764
CHEMBL1985723,Q13464,1.400019635
CHEMBL462120,Q12851,3.799999763
CHEMBL1978656,Q9HBY8,4.0
CHEMBL1991138,P49760,3.899999872
CHEMBL377300,Q9NRM7,4.0
CHEMBL23327,P24723,5.0
CHEMBL2007002,O15264,3.899999872
CHEMBL2000894,Q06187,3.100001583
CHEMBL1969126,Q05655,3.899999872
CHEMBL2005548,P29597,3.299999496
CHEMBL296468,Q00536,0.851258349
CHEMBL509032,Q6PHR2,1.041392685
CHEMBL1974310,Q9NWZ3,3.699999798
CHEMBL1230020,O96013,4.0
CHEMBL558752,P53779,4.0
CHEMBL1765781,P08069,3.0
CHEMBL1230020,O00506,4.0
CHEMBL445813,Q9Y6M4,4.0
CHEMBL1998953,P11362,3.599999814
CHEMBL1974480,P34947,3.100001583
CHEMBL1992323,Q13627,2.600003087
CHEMBL1241679,P35968,4.633468456
CHEMBL2006276,P68400,3.799999763
CHEMBL1991678,P51617,3.899999872
CHEMBL1992740,P00519,2.800001828
CHEMBL1985311,P28482,3.899999872
CHEMBL497151,Q7KZI7,3.799999763
CHEMBL184847,Q8N4C8,3.899999872
CHEMBL1985580,Q16620,3.699999798
CHEMBL558752,Q00535,4.0
CHEMBL1989834,O43293,4.399999925
CHEMBL101253,P51956,4.0
CHEMBL2006276,P07333,3.400000617
CHEMBL1682553,P49840,1.2999429
CHEMBL1964692,Q13237,3.199999125
CHEMBL1973937,Q00535,4.0
CHEMBL1998414,P51817,2.700002397
CHEMBL519697,P28482,3.899999872
CHEMBL255863,Q16832,0.547918495
CHEMBL207687,P53779,4.0
CHEMBL101253,Q02750,3.649999748
CHEMBL2006276,Q9UM73,3.100001583
CHEMBL1974416,P23443,3.799999763
CHEMBL162621,P17252,0.301029996
CHEMBL275224,P24723,4.397940009
CHEMBL188386,Q9UQM7,4.0
CHEMBL2004159,Q8IU85,3.400000617
CHEMBL1983963,Q00535,4.0
CHEMBL1965845,Q9HBH9,2.800001828
CHEMBL226471,Q96KB5,4.0
CHEMBL1461728,O75116,3.199999125
CHEMBL1980763,P35968,2.0
CHEMBL1336,P10721,1.487487262
CHEMBL2010872,Q13188,1.322219295
CHEMBL288441,Q8IYT8,2.653212514
CHEMBL201511,P36888,1.843318135
CHEMBL491758,Q96KB5,4.0
CHEMBL1336,P51817,3.750000161
CHEMBL384304,Q8N568,4.0
CHEMBL1996923,Q13464,4.0
CHEMBL1973893,Q9NYL2,3.899999872
CHEMBL1972462,P49336,3.599999814
CHEMBL215943,P29597,3.26245109
CHEMBL1972576,Q16288,3.100001583
CHEMBL1981782,Q13464,2.099991234
CHEMBL440084,P22455,4.0
CHEMBL2006450,P49760,3.199999125
CHEMBL131193,P05129,2.84509804
CHEMBL1979718,P49840,3.199999125
CHEMBL1974328,P48729,3.0
CHEMBL249282,P24941,3.899999872
CHEMBL2205766,P07949,4.0
CHEMBL1289926,O43293,4.0
CHEMBL1230020,O14733,4.0
CHEMBL1997623,P52333,2.800001828
CHEMBL1987998,Q16620,3.599999814
CHEMBL574738,Q9UEW8,3.176091259
CHEMBL494089,Q9P0L2,4.0
CHEMBL1908392,O14578,4.0
CHEMBL1987359,Q16620,3.699999798
CHEMBL1968406,Q13131,3.0
CHEMBL488811,O14965,3.812913357
CHEMBL2005631,P15735,3.699999798
CHEMBL1682553,P35968,3.924206419
CHEMBL1992732,P07948,3.199999125
CHEMBL1991356,P53778,3.799999763
CHEMBL1991078,P35968,2.600003087
CHEMBL1987007,Q9BZL6,3.0
CHEMBL1999931,P00519,2.800001828
CHEMBL119385,Q9H2G2,4.0
CHEMBL1979057,Q96GD4,1.499961866
CHEMBL1969561,O15530,3.599999814
CHEMBL475251,P08631,2.238049731
CHEMBL1977134,Q04771,3.599999814
CHEMBL1081198,P06239,4.698970004
CHEMBL1242288,Q9UBF8,4.255272505
CHEMBL1908391,Q13557,4.0
CHEMBL2001641,O14757,4.799999969
CHEMBL1969523,Q00535,3.100001583
CHEMBL1995211,P07333,3.400000617
CHEMBL1993781,P04626,3.199999125
CHEMBL1968926,O95819,3.500000321
CHEMBL1908394,P24941,4.0
CHEMBL379601,P45983,4.0
CHEMBL248757,P51817,3.186301028
CHEMBL2005828,Q13237,3.199999125
CHEMBL1965387,P53667,3.500000321
CHEMBL101253,P29597,3.649999748
CHEMBL428690,Q9BVS4,4.0
CHEMBL1987054,P35968,1.400019635
CHEMBL248757,P23443,3.811997677
CHEMBL1965131,Q7KZI7,3.899999872
CHEMBL1970340,Q9H3Y6,3.199999125
CHEMBL1994864,P11362,3.699999798
CHEMBL2007592,P28482,3.899999872
CHEMBL389745,P06493,4.0
CHEMBL1988437,Q14012,3.799999763
CHEMBL1969042,P08581,3.500000321
CHEMBL440084,P49761,4.0
CHEMBL1271532,P54619,2.146128036
CHEMBL119385,P49674,4.0
CHEMBL1972125,Q9H2X6,3.400000617
CHEMBL939,Q59H18,4.0
CHEMBL120077,P11362,4.660865478
CHEMBL1997340,Q9H2X6,3.500000321
CHEMBL1999918,O15264,3.899999872
CHEMBL162,P80192,1.0
CHEMBL31965,Q9Y4K4,3.414973348
CHEMBL1989265,Q16644,4.0
CHEMBL1991356,O75582,3.299999496
CHEMBL2005699,Q9Y463,3.400000617
CHEMBL1242752,P00519,3.77815125
CHEMBL261849,Q14164,3.750000161
CHEMBL2338335,P31751,5.0
CHEMBL1980253,P11309,2.800001828
CHEMBL394619,O75582,2.400002346
CHEMBL1990912,P17948,2.600003087
CHEMBL1978271,Q16288,3.500000321
CHEMBL1985566,P04629,3.400000617
CHEMBL601719,P53778,4.0
CHEMBL348586,Q05655,1.301029996
CHEMBL31965,P54756,3.079181246
CHEMBL1236107,Q9P289,4.0
CHEMBL1979516,P31749,3.899999872
CHEMBL237570,P09619,4.477121255
CHEMBL1980144,Q13555,3.799999763
CHEMBL1992536,P51617,3.899999872
CHEMBL1972250,O96013,3.699999798
CHEMBL306380,Q16513,3.899999872
CHEMBL1970806,P29597,3.299999496
CHEMBL1999931,Q7L7X3,3.199999125
CHEMBL1982361,P05129,3.899999872
CHEMBL306380,Q9UM73,3.100001583
CHEMBL223367,P04626,3.599999563
CHEMBL1650533,P54760,2.0
CHEMBL392642,O94806,2.700002397
CHEMBL1994977,Q06187,3.799999763
CHEMBL2007097,O43293,4.199999947
CHEMBL2000104,P28482,3.899999872
CHEMBL1964692,P51957,3.799999763
CHEMBL1997534,Q13557,3.699999798
CHEMBL1991180,O75116,2.800001828
CHEMBL1972934,Q5S007,4.099999858
CHEMBL363130,Q9HCP0,2.755874856
CHEMBL1995813,Q13555,1.899984563
CHEMBL1994526,O95819,3.699999798
CHEMBL1650533,O14920,2.0
CHEMBL2004447,P16591,3.199999125
CHEMBL1971017,P36888,3.400000617
CHEMBL300936,P00533,4.397940009
CHEMBL2000879,P35968,4.600000032
CHEMBL1241682,P00519,3.707570176
CHEMBL1971141,P16591,3.199999125
CHEMBL1992342,P53667,3.899999872
CHEMBL1969190,Q8IW41,3.199999125
CHEMBL1236107,Q15303,4.0
CHEMBL2002165,Q16620,2.0
CHEMBL1965387,P09619,1.2999429
CHEMBL1987679,P78368,3.899999872
CHEMBL1682558,P28482,3.899999872
CHEMBL1967116,O43781,3.0
CHEMBL105442,P43403,4.0
CHEMBL214253,P24723,3.531478917
CHEMBL2000568,Q8IU85,3.400000617
CHEMBL2000801,Q9H3Y6,3.199999125
CHEMBL565612,P68400,3.799999763
CHEMBL2007421,P07333,3.400000617
CHEMBL1979554,O96013,3.699999798
CHEMBL1240703,P53667,4.0
CHEMBL124660,Q8IY84,4.0
CHEMBL1994864,P31751,3.899999872
CHEMBL1965845,Q06187,3.100001583
CHEMBL2003482,Q00535,3.799999763
CHEMBL1972221,Q8N4C8,3.899999872
CHEMBL1682357,Q14012,3.899999872
CHEMBL1988581,P51812,2.099991234
CHEMBL2002649,P00533,3.299999496
CHEMBL178737,P49841,0.113943352
CHEMBL522892,Q6PHR2,2.230448921
CHEMBL1980163,P30530,3.299999496
CHEMBL1997617,Q05513,3.899999872
CHEMBL422897,P78368,3.899999872
CHEMBL1997597,P53350,3.899999872
CHEMBL1287853,O75747,4.0
CHEMBL2006010,P68400,3.799999763
CHEMBL1908395,Q14680,3.041392685
CHEMBL450786,P51817,4.0
CHEMBL266487,P11802,3.764176132
CHEMBL525191,Q15418,4.0
CHEMBL31965,P42345,4.0
CHEMBL1981047,O43781,3.799999763
CHEMBL246970,O75582,3.299999496
CHEMBL300138,O14757,4.0
CHEMBL428690,P21802,4.0
CHEMBL2005112,P23443,3.699999798
CHEMBL491758,P78368,3.899999872
CHEMBL1969664,O43781,3.0
CHEMBL213423,Q15418,4.0
CHEMBL117697,P09619,4.899999981
CHEMBL1966703,P06213,3.699999798
CHEMBL1082440,Q9UM73,3.100001583
CHEMBL2000894,P11309,4.0
CHEMBL101253,Q00532,4.0
CHEMBL1976093,Q7KZI7,3.899999872
CHEMBL1991188,Q16644,4.0
CHEMBL1972937,Q13627,3.199999125
CHEMBL1964937,P08581,3.500000321
CHEMBL1973793,Q16620,3.599999814
CHEMBL1993941,P51957,3.799999763
CHEMBL384304,P31749,3.849485002
CHEMBL601719,O43293,4.0
CHEMBL1970104,Q9Y6M4,3.799999763
CHEMBL1983006,Q96GD4,3.799999763
CHEMBL1233654,P22612,3.477121255
CHEMBL1908396,P57078,4.0
CHEMBL1975900,P41743,3.699999798
CHEMBL2001547,Q96KB5,4.0
CHEMBL574737,Q04759,1.202587773
CHEMBL1977814,Q16288,2.400002346
CHEMBL386051,Q9H2K8,2.591064607
CHEMBL571040,P11362,4.0
CHEMBL1995740,P35916,3.799999763
CHEMBL1978656,P53778,3.799999763
CHEMBL280074,P22612,6.301029996
CHEMBL1972183,Q9H2G2,4.0
CHEMBL1968406,Q9NR20,3.699999798
CHEMBL1958401,Q16513,3.899999872
CHEMBL79004,P17252,4.397940009
CHEMBL1974870,O43293,1.899984563
CHEMBL259084,P04626,3.599999563
CHEMBL1988608,P45983,3.500000321
CHEMBL1986530,O43293,3.100001583
CHEMBL1996510,P49760,3.400000617
CHEMBL1922225,P30530,4.305351369
CHEMBL2001239,P17948,2.600003087
CHEMBL574738,Q16816,4.0
CHEMBL1289926,P53779,3.041392685
CHEMBL1969755,P04626,3.199999125
CHEMBL1979773,P11309,3.799999763
CHEMBL565612,P16234,3.400000617
CHEMBL2006567,P49840,3.899999872
CHEMBL1994864,P41743,3.699999798
CHEMBL249697,O14920,2.126722894
CHEMBL494089,Q9UKI8,4.0
CHEMBL1908397,O15264,4.0
CHEMBL1992242,Q96KB5,4.0
CHEMBL2000429,Q16644,4.0
CHEMBL1973808,Q96KB5,4.0
CHEMBL1971289,Q00535,1.800029359
CHEMBL210928,Q7L7X3,4.0
CHEMBL101253,Q8IYT8,4.0
CHEMBL386051,Q9P1W9,4.0
CHEMBL230011,Q59H18,3.146128036
CHEMBL1980904,P17948,-0.500312917
CHEMBL1977134,O94806,3.599999814
CHEMBL1983715,O94806,2.0
CHEMBL507249,Q16539,4.326606257
CHEMBL1974416,P49840,2.900000965
CHEMBL1964902,P16234,3.400000617
CHEMBL1992634,P36888,1.400019635
CHEMBL2006493,Q7L7X3,4.0
CHEMBL259922,Q05513,3.899999872
CHEMBL2005186,P06239,3.400000617
CHEMBL553,Q7KZI7,3.949999936
CHEMBL1982992,O15264,3.899999872
CHEMBL105442,P36897,4.0
CHEMBL379975,Q9HAZ1,3.199999125
CHEMBL484390,O00311,3.100001583
CHEMBL2338334,P04049,5.0
CHEMBL475251,P27037,4.0
CHEMBL1375640,Q16644,4.0
CHEMBL2005475,Q13464,4.0
CHEMBL1957190,P35916,4.544068044
CHEMBL1999811,Q96GD4,3.0
CHEMBL1987533,Q15303,3.599999814
CHEMBL288441,Q92918,1.061647087
CHEMBL2006439,Q8TDC3,4.0
CHEMBL1965660,P53778,1.899984563
CHEMBL558752,Q13882,3.556302501
CHEMBL1982466,Q9HBY8,4.0
CHEMBL2000354,Q05513,3.899999872
CHEMBL1975490,P53778,3.799999763
CHEMBL1969301,P05129,3.899999872
CHEMBL323336,P36888,4.056904851
CHEMBL1908394,O15264,4.0
CHEMBL402846,P06239,2.700002397
CHEMBL1997129,P51955,2.800001828
CHEMBL1984711,Q9H2G2,2.700002397
CHEMBL2002479,Q9BWU1,5.0
CHEMBL475251,P07947,1.544068044
CHEMBL1975233,P07333,3.400000617
CHEMBL392642,P42685,3.400000617
CHEMBL1989029,Q05397,3.199999125
CHEMBL1968130,P17948,4.399999925
CHEMBL299763,P11802,4.602059991
CHEMBL574738,Q9UK32,3.831378916
CHEMBL1971430,P28482,3.899999872
CHEMBL1966514,P52333,2.800001828
CHEMBL119385,Q9H2K8,4.0
CHEMBL2000832,O75582,2.400002346
CHEMBL2004290,Q13464,2.600003087
CHEMBL225519,Q14012,3.799999763
CHEMBL375284,Q7KZI7,3.899999872
CHEMBL1983070,P06239,3.799999763
CHEMBL1908393,P48730,4.0
CHEMBL371206,Q14012,3.299999496
CHEMBL1965589,P12931,3.299999496
CHEMBL2338333,P35968,3.113943352
CHEMBL1984296,P51812,3.500000321
CHEMBL1977041,O43293,2.800001828
CHEMBL1968705,P10721,3.100001583
CHEMBL14762,Q96SB4,4.0
CHEMBL1985367,P50750,2.500003068
CHEMBL1979357,P31749,2.800001828
CHEMBL1965660,P17612,2.600003087
CHEMBL1980161,O00444,4.600000032
CHEMBL2003482,Q05397,3.199999125
CHEMBL1987998,P07333,3.400000617
CHEMBL1993243,P24941,3.899999872
CHEMBL509032,Q9BXA7,1.448950937
CHEMBL2004892,P43405,3.199999125
CHEMBL223360,Q00532,4.0
CHEMBL17370,P51957,3.799999763
CHEMBL1988075,P07948,2.200001865
CHEMBL223360,P04049,4.0
CHEMBL558752,P27361,4.0
CHEMBL1992673,P48729,4.699999971
CHEMBL1991078,O75116,2.900000965
CHEMBL939,Q16539,3.350001199
CHEMBL289959,P11362,4.699999971
CHEMBL482967,Q7L7X3,3.299999496
CHEMBL1996791,Q16620,3.699999798
CHEMBL1972221,Q16288,3.100001583
CHEMBL526133,P51812,2.900000965
CHEMBL223460,O15075,4.0
CHEMBL1990288,P30530,3.299999496
CHEMBL1242749,O00329,1.69019608
CHEMBL1978166,Q14680,3.299999496
CHEMBL1986756,P50613,3.599999814
CHEMBL2003482,O00418,3.599999814
CHEMBL207246,Q13131,4.0
CHEMBL379218,P57078,4.0
CHEMBL94678,Q02156,2.056904851
CHEMBL340921,Q12851,3.799999763
CHEMBL1994308,P51817,3.500000321
CHEMBL1966816,P78368,3.899999872
CHEMBL1721885,Q96BR1,2.397940009
CHEMBL2003420,O95819,4.0
CHEMBL415233,P22612,5.0
CHEMBL1682545,P48729,3.799999763
CHEMBL1614701,P14616,4.0
CHEMBL1972849,P08581,3.500000321
CHEMBL1082440,P45983,3.500000321
CHEMBL2005375,Q9H2X6,3.500000321
CHEMBL1972276,Q13554,3.899999872
CHEMBL1983945,Q7L7X3,3.799999763
CHEMBL1271642,Q15418,3.531478917
CHEMBL1972576,Q00535,4.0
CHEMBL1236107,Q9UQ88,4.0
CHEMBL1236126,P23443,3.799999763
CHEMBL565612,Q9NR20,3.899999872
CHEMBL1981792,P49760,3.599999814
CHEMBL2001923,O96017,4.0
CHEMBL2002099,O43293,2.049995617
CHEMBL1230790,O00329,2.397940009
CHEMBL509032,Q9HCP0,3.899999881
CHEMBL2036343,P49137,4.204119983
CHEMBL1973720,P16234,3.100001583
CHEMBL1965131,Q9UM73,3.100001583
CHEMBL377383,P48729,3.799999763
CHEMBL458997,P17612,3.599999814
CHEMBL1972362,P06241,2.900000965
CHEMBL2000894,P49841,2.800001828
CHEMBL97162,P45984,0.698970004
CHEMBL1995832,P06239,3.400000617
CHEMBL1974254,O15530,3.599999814
CHEMBL1241473,Q13131,0.899820502
CHEMBL2000393,Q96SB4,3.799999763
CHEMBL1984847,Q12851,3.400000617
CHEMBL450786,O75747,4.0
CHEMBL1980715,P35968,3.899999872
CHEMBL24828,P16591,4.0
CHEMBL2000345,Q96KB5,4.0
CHEMBL124660,Q9BVS4,4.0
CHEMBL2001288,P51812,3.899999872
CHEMBL554,P29597,3.649999748
CHEMBL1998545,P42685,3.400000617
CHEMBL60254,Q02156,1.081342995
CHEMBL1988872,Q9UM73,3.799999763
CHEMBL561708,P35968,4.698970004
CHEMBL1973359,Q9Y463,1.899984563
CHEMBL1977931,P51812,4.899999981
CHEMBL599224,Q9P289,4.0
CHEMBL1994864,Q16644,4.0
CHEMBL1241679,P42345,4.602059991
CHEMBL278041,P49841,3.415682191
CHEMBL105442,Q13873,4.0
CHEMBL565612,Q08881,3.199999125
CHEMBL1999774,P51955,4.0
CHEMBL1992073,P49840,3.599999814
CHEMBL1982880,Q5VT25,4.0
CHEMBL1095627,P06493,4.698970004
CHEMBL601719,P36896,2.934498451
CHEMBL1974157,Q9H4B4,2.800001828
CHEMBL1969506,Q16288,3.100001583
CHEMBL1970006,P51955,4.0
CHEMBL306380,P35916,2.800001828
CHEMBL1986684,Q04771,4.199999947
CHEMBL2163772,P00533,5.471291711
CHEMBL1967094,O00444,2.800001828
CHEMBL1966087,P49137,3.899999872
CHEMBL1991188,Q9BXA7,3.199999125
CHEMBL199755,P31749,4.301029996
CHEMBL406845,P51812,3.599999814
CHEMBL450786,P35916,3.146128036
CHEMBL1992342,Q13555,3.400000617
CHEMBL1979577,Q13976,3.299999496
CHEMBL1682359,P06493,3.899999872
CHEMBL1991410,Q16288,3.500000321
CHEMBL1984711,Q96PF2,3.199999125
CHEMBL1995448,Q9BZL6,4.0
CHEMBL553,P53355,4.0
CHEMBL1967560,O15075,4.0
CHEMBL1982465,Q8NE63,1.899984563
CHEMBL1967998,Q9BWU1,3.0
CHEMBL10,Q8WXR4,4.0
CHEMBL449392,O94806,4.301029996
CHEMBL1988437,Q13554,3.899999872
CHEMBL475251,Q06187,2.539377714
CHEMBL1999590,P36888,2.900000965
CHEMBL1967513,P06239,3.799999763
CHEMBL1992732,Q13464,4.0
CHEMBL1970104,P04626,3.199999125
CHEMBL1971149,O00444,3.599999814
CHEMBL392642,P12931,3.299999496
CHEMBL1969126,P07332,3.299999496
CHEMBL1971943,P08069,3.299999496
CHEMBL2006299,Q04759,2.300008203
CHEMBL2005792,Q9HAZ1,3.400000617
CHEMBL1969126,P52333,3.199999125
CHEMBL494089,P54753,4.0
CHEMBL1908396,Q6PHR2,4.0
CHEMBL1336,P68400,3.899999881
CHEMBL1965836,Q13464,0.499687083
CHEMBL372657,P21802,2.184691431
CHEMBL601719,Q5S007,4.0
CHEMBL1999774,P23443,3.799999763
CHEMBL1978099,P23443,3.599999814
CHEMBL1984044,P31751,3.899999872
CHEMBL2004871,P68400,3.799999763
CHEMBL1993413,P24941,3.500000321
CHEMBL177688,Q13554,4.0
CHEMBL106966,P22694,4.477121255
CHEMBL302449,P06493,1.200029267
CHEMBL1975138,Q06187,3.100001583
CHEMBL1980407,P53667,2.700002397
CHEMBL1988387,Q9H3Y6,1.700011062
CHEMBL261849,Q13233,4.0
CHEMBL1997023,P27448,3.799999763
CHEMBL2000508,O43293,3.100001583
CHEMBL1973395,Q13153,4.0
CHEMBL1989708,P53778,3.799999763
CHEMBL124660,O00444,3.799999907
CHEMBL1974328,Q13557,2.600003087
CHEMBL377300,P08581,4.0
CHEMBL404367,O00444,3.299999496
CHEMBL266487,Q02156,3.077370186
CHEMBL1983006,P45984,3.599999814
CHEMBL1789941,P35968,4.0
CHEMBL1990884,Q96PF2,3.199999125
CHEMBL1970735,O00444,3.599999814
CHEMBL2004872,P11309,4.0
CHEMBL1989265,Q8N4C8,3.899999872
CHEMBL1984686,P35968,3.400000617
CHEMBL288441,Q13882,4.0
CHEMBL553,Q9UPZ9,4.0
CHEMBL1982465,P53667,2.900000965
CHEMBL592030,Q96KB5,3.400000617
CHEMBL340384,P31751,3.299999496
CHEMBL265502,Q05655,4.462397998
CHEMBL1971141,P06213,3.699999798
CHEMBL1970709,P35968,3.899999872
CHEMBL1997349,P45984,3.599999814
CHEMBL1967887,Q05397,3.199999125
CHEMBL1964902,P09619,3.299999496
CHEMBL1995813,P06239,3.400000617
CHEMBL2007266,O95819,3.699999798
CHEMBL1966087,O95819,3.799999763
CHEMBL1974702,O00444,3.599999814
CHEMBL583144,Q13153,4.0
CHEMBL1972576,Q9HBY8,4.0
CHEMBL1721885,Q9Y5S2,4.0
CHEMBL230011,P54762,4.0
CHEMBL1987910,P42679,3.299999496
CHEMBL202721,Q05397,3.799999763
CHEMBL1980391,O75582,3.299999496
CHEMBL365847,P31749,4.0
CHEMBL1979176,P52333,3.199999125
CHEMBL1986943,P45984,2.400002346
CHEMBL428690,O75582,4.0
CHEMBL1970735,P48729,3.799999763
CHEMBL1993634,Q16539,2.800001828
CHEMBL1721885,Q15208,2.84509804
CHEMBL261849,O75676,4.0
CHEMBL1972934,P53667,3.599999814
CHEMBL1419458,Q00535,4.0
CHEMBL1980540,Q8TDC3,4.0
CHEMBL1988717,Q5VT25,4.0
CHEMBL2006237,Q16644,4.0
CHEMBL2002165,P30530,1.2999429
CHEMBL1973142,Q96PF2,3.199999125
CHEMBL2205766,P50750,4.0
CHEMBL1975212,P50750,4.0
CHEMBL127898,P49841,3.400000617
CHEMBL2005899,P15735,3.699999798
CHEMBL50894,P45983,3.599999814
CHEMBL1988163,P05129,2.500003068
CHEMBL1985074,P78368,3.899999872
CHEMBL521851,P42338,0.952518628
CHEMBL1977814,P28482,3.899999872
CHEMBL14762,P35590,4.0
CHEMBL1230607,Q16539,4.0
CHEMBL521851,Q9NRP7,4.0
CHEMBL91829,P04626,4.0
CHEMBL482767,Q13131,3.400000617
CHEMBL522892,P16591,4.0
CHEMBL1999774,Q7KZI7,3.899999872
CHEMBL1966035,P78368,3.699999798
CHEMBL1974935,P27448,3.799999763
CHEMBL539474,Q06418,1.400019635
CHEMBL2003768,P28482,3.899999872
CHEMBL1990583,Q05513,3.899999872
CHEMBL1999414,P45983,3.699999798
CHEMBL1966343,Q16288,3.100001583
CHEMBL1988300,P43405,3.199999125
CHEMBL1997924,Q9UM73,1.800029359
CHEMBL1991725,Q8IW41,3.199999125
CHEMBL553,O94921,4.0
CHEMBL2001239,P49137,3.699999798
CHEMBL525191,Q6PHR2,4.0
CHEMBL1682540,Q05513,3.899999872
CHEMBL379218,Q13043,4.0
CHEMBL75773,P22612,3.77815125
CHEMBL2006493,P49760,3.899999872
CHEMBL1967116,Q9NYL2,2.0
CHEMBL608154,Q7KZI7,4.0
CHEMBL1972576,Q9H2G2,1.599992178
CHEMBL1984788,Q9HBY8,4.0
CHEMBL2001547,P16591,3.199999125
CHEMBL1997617,P04626,1.10002573
CHEMBL1986265,Q13627,3.299999496
CHEMBL2002599,P06241,3.799999763
CHEMBL1964290,P43405,3.199999125
CHEMBL1966703,O94806,4.0
CHEMBL1985367,P49336,3.599999814
CHEMBL2205426,P06241,2.515873844
CHEMBL1242381,O00329,1.826074803
CHEMBL482967,Q16644,4.0
CHEMBL508928,P16591,2.700002397
CHEMBL278041,P80192,4.0
CHEMBL351291,P22612,4.0
CHEMBL1994830,Q14680,3.199999125
CHEMBL1975787,P12931,3.699999798
CHEMBL2006276,Q9NR20,3.899999872
CHEMBL1991429,Q9P1W9,3.199999125
CHEMBL2004447,P52333,3.199999125
CHEMBL1991188,Q9UM73,3.100001583
CHEMBL1684800,P45983,3.201943063
CHEMBL1991674,Q04771,3.599999814
CHEMBL1241473,P29597,2.200001865
CHEMBL1970317,Q06418,3.199999125
CHEMBL303144,O15264,-0.137044184
CHEMBL1979252,Q9Y6M4,2.700002397
CHEMBL1682540,Q06418,3.299999496
CHEMBL1976732,Q9BZL6,3.400000617
CHEMBL1979176,Q9UEE5,2.200001865
CHEMBL24828,Q9UM73,3.26110921
CHEMBL1996048,Q13627,3.299999496
CHEMBL1975128,P08581,3.500000321
CHEMBL1990212,P17612,3.899999872
CHEMBL2152253,Q96GD4,3.556302501
CHEMBL2006439,Q9HBY8,2.900000965
CHEMBL1997041,P07333,3.500000321
CHEMBL215152,Q14012,4.0
CHEMBL1973145,P51955,4.0
CHEMBL1994040,Q06187,3.100001583
CHEMBL2000354,P05129,3.899999872
CHEMBL508928,O43781,2.500003068
CHEMBL1967564,Q13976,3.299999496
CHEMBL1970903,P17948,2.600003087
CHEMBL1980896,P48729,3.799999763
CHEMBL468280,Q9UM73,3.100001583
CHEMBL296468,Q92772,1.612783857
CHEMBL1998680,P45984,3.100001583
CHEMBL440084,Q9BWU1,4.0
CHEMBL206783,P28482,4.0
CHEMBL386051,P78362,4.0
CHEMBL1983195,P28482,3.899999872
CHEMBL223971,P10721,1.079181246
CHEMBL98350,Q16539,3.886056648
CHEMBL1908393,P42680,2.491361694
CHEMBL1908395,Q9NWZ3,2.934498451
CHEMBL468280,Q13627,3.799999763
CHEMBL424872,P11309,3.799999763
CHEMBL1995172,P07333,4.500000047
CHEMBL1173655,Q6ZN16,4.0
CHEMBL1287853,P15735,3.204119983
CHEMBL1986499,P11309,4.0
