Drug_ID,Protein_ID,KIBA_affinity,Drug_Cluster_ID,Protein_Cluster_ID
CHEMBL389745,O00141,4.0,Cluster_47,Cluster_32
CHEMBL395080,O00141,4.698970004,Cluster_47,Cluster_32
CHEMBL398606,O00141,2.462397998,Cluster_537,Cluster_32
CHEMBL438485,O00141,3.120573931,Cluster_-1,Cluster_32
CHEMBL485285,O00141,4.51851394,Cluster_534,Cluster_32
CHEMBL485286,O00141,4.51851394,Cluster_534,Cluster_32
CHEMBL583042,O00141,4.0,Cluster_290,Cluster_32
CHEMBL590109,O00141,2.838849091,Cluster_495,Cluster_32
CHEMBL606964,O00141,5.096910013,Cluster_568,Cluster_32
CHEMBL10,O00238,3.51851394,Cluster_284,Cluster_30
CHEMBL101253,O00238,4.0,Cluster_490,Cluster_30
CHEMBL105442,O00238,4.0,Cluster_426,Cluster_30
CHEMBL1173655,O00238,4.0,Cluster_-1,Cluster_30
CHEMBL119385,O00238,4.0,Cluster_419,Cluster_30
CHEMBL1230020,O00238,3.491361694,Cluster_-1,Cluster_30
CHEMBL1240703,O00238,4.0,Cluster_-1,Cluster_30
CHEMBL1241674,O00238,0.322219295,Cluster_181,Cluster_30
CHEMBL124660,O00238,4.0,Cluster_472,Cluster_30
CHEMBL1287853,O00238,2.612783857,Cluster_290,Cluster_30
CHEMBL1289926,O00238,3.462397998,Cluster_234,Cluster_30
CHEMBL1614701,O00238,4.0,Cluster_-1,Cluster_30
CHEMBL162,O00238,2.230448921,Cluster_65,Cluster_30
CHEMBL1789941,O00238,3.255272505,Cluster_-1,Cluster_30
CHEMBL180022,O00238,4.0,Cluster_236,Cluster_30
CHEMBL1908392,O00238,4.0,Cluster_107,Cluster_30
CHEMBL1908393,O00238,4.0,Cluster_395,Cluster_30
CHEMBL1908394,O00238,4.0,Cluster_-1,Cluster_30
CHEMBL1908395,O00238,2.568201724,Cluster_550,Cluster_30
CHEMBL1908396,O00238,3.342422681,Cluster_388,Cluster_30
CHEMBL1908397,O00238,2.079181246,Cluster_390,Cluster_30
CHEMBL215152,O00238,4.0,Cluster_234,Cluster_30
CHEMBL223360,O00238,2.851258349,Cluster_-1,Cluster_30
CHEMBL230011,O00238,4.0,Cluster_-1,Cluster_30
CHEMBL24828,O00238,2.380211242,Cluster_335,Cluster_30
CHEMBL249697,O00238,4.0,Cluster_543,Cluster_30
CHEMBL259084,O00238,4.0,Cluster_530,Cluster_30
CHEMBL261849,O00238,4.0,Cluster_-1,Cluster_30
CHEMBL296468,O00238,4.0,Cluster_559,Cluster_30
CHEMBL31965,O00238,3.414973348,Cluster_-1,Cluster_30
CHEMBL377300,O00238,4.0,Cluster_470,Cluster_30
CHEMBL475251,O00238,2.857332496,Cluster_48,Cluster_30
CHEMBL491473,O00238,4.0,Cluster_472,Cluster_30
CHEMBL494089,O00238,4.0,Cluster_475,Cluster_30
CHEMBL509032,O00238,-0.070581074,Cluster_484,Cluster_30
CHEMBL521851,O00238,4.0,Cluster_152,Cluster_30
CHEMBL522892,O00238,4.0,Cluster_119,Cluster_30
CHEMBL525191,O00238,3.255272505,Cluster_323,Cluster_30
CHEMBL553,O00238,4.0,Cluster_455,Cluster_30
CHEMBL554,O00238,4.0,Cluster_549,Cluster_30
CHEMBL572881,O00238,4.0,Cluster_-1,Cluster_30
CHEMBL574738,O00238,4.0,Cluster_-1,Cluster_30
CHEMBL576982,O00238,4.0,Cluster_570,Cluster_30
CHEMBL601719,O00238,2.361727836,Cluster_393,Cluster_30
CHEMBL91829,O00238,4.0,Cluster_141,Cluster_30
CHEMBL10,O00311,3.100001583,Cluster_284,Cluster_21
CHEMBL101253,O00311,3.100001583,Cluster_490,Cluster_21
CHEMBL1082440,O00311,3.100001583,Cluster_468,Cluster_21
CHEMBL1090356,O00311,3.100001583,Cluster_575,Cluster_21
CHEMBL1094408,O00311,4.0,Cluster_290,Cluster_21
CHEMBL115220,O00311,4.0,Cluster_611,Cluster_21
CHEMBL117697,O00311,3.100001583,Cluster_432,Cluster_21
CHEMBL1190711,O00311,1.2999429,Cluster_205,Cluster_21
CHEMBL1230607,O00311,4.0,Cluster_513,Cluster_21
CHEMBL1241473,O00311,0.800029359,Cluster_48,Cluster_21
CHEMBL1258913,O00311,3.294466226,Cluster_396,Cluster_21
CHEMBL1270230,O00311,1.342422681,Cluster_-1,Cluster_21
CHEMBL1375418,O00311,3.400000617,Cluster_409,Cluster_21
CHEMBL1516890,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1614705,O00311,3.100001583,Cluster_439,Cluster_21
CHEMBL1624529,O00311,3.100001583,Cluster_579,Cluster_21
CHEMBL1682346,O00311,1.10002573,Cluster_240,Cluster_21
CHEMBL1682358,O00311,1.499961866,Cluster_240,Cluster_21
CHEMBL1682540,O00311,2.600003087,Cluster_610,Cluster_21
CHEMBL1682552,O00311,2.700002397,Cluster_-1,Cluster_21
CHEMBL1682553,O00311,2.099991234,Cluster_-1,Cluster_21
CHEMBL17370,O00311,3.100001583,Cluster_136,Cluster_21
CHEMBL1738758,O00311,4.0,Cluster_-1,Cluster_21
CHEMBL183844,O00311,3.100001583,Cluster_405,Cluster_21
CHEMBL184847,O00311,3.100001583,Cluster_405,Cluster_21
CHEMBL185569,O00311,3.100001583,Cluster_405,Cluster_21
CHEMBL1933576,O00311,4.0,Cluster_-1,Cluster_21
CHEMBL1933582,O00311,4.0,Cluster_-1,Cluster_21
CHEMBL196363,O00311,3.100001583,Cluster_520,Cluster_21
CHEMBL1964290,O00311,0.800029359,Cluster_522,Cluster_21
CHEMBL1964413,O00311,3.100001583,Cluster_552,Cluster_21
CHEMBL1964444,O00311,3.100001583,Cluster_469,Cluster_21
CHEMBL1964644,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1964687,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1964692,O00311,3.100001583,Cluster_189,Cluster_21
CHEMBL1964777,O00311,3.100001583,Cluster_304,Cluster_21
CHEMBL1964804,O00311,3.100001583,Cluster_424,Cluster_21
CHEMBL1965131,O00311,2.800001828,Cluster_489,Cluster_21
CHEMBL1965423,O00311,3.100001583,Cluster_112,Cluster_21
CHEMBL1965570,O00311,3.100001583,Cluster_133,Cluster_21
CHEMBL1965589,O00311,3.100001583,Cluster_199,Cluster_21
CHEMBL1965631,O00311,2.400002346,Cluster_-1,Cluster_21
CHEMBL1965660,O00311,-0.698970004,Cluster_357,Cluster_21
CHEMBL1965836,O00311,1.2999429,Cluster_255,Cluster_21
CHEMBL1965988,O00311,3.100001583,Cluster_518,Cluster_21
CHEMBL1966040,O00311,1.10002573,Cluster_553,Cluster_21
CHEMBL1966343,O00311,1.700011062,Cluster_458,Cluster_21
CHEMBL1966514,O00311,3.100001583,Cluster_133,Cluster_21
CHEMBL1966628,O00311,0.699837726,Cluster_-1,Cluster_21
CHEMBL1966703,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1966722,O00311,3.100001583,Cluster_604,Cluster_21
CHEMBL1966808,O00311,1.10002573,Cluster_339,Cluster_21
CHEMBL1967094,O00311,3.100001583,Cluster_587,Cluster_21
CHEMBL1967116,O00311,3.100001583,Cluster_428,Cluster_21
CHEMBL1967302,O00311,3.100001583,Cluster_501,Cluster_21
CHEMBL1967531,O00311,3.100001583,Cluster_324,Cluster_21
CHEMBL1967544,O00311,3.100001583,Cluster_601,Cluster_21
CHEMBL1967560,O00311,3.100001583,Cluster_389,Cluster_21
CHEMBL1967564,O00311,3.100001583,Cluster_148,Cluster_21
CHEMBL1967720,O00311,3.100001583,Cluster_532,Cluster_21
CHEMBL1967878,O00311,3.0,Cluster_382,Cluster_21
CHEMBL1967887,O00311,2.0,Cluster_564,Cluster_21
CHEMBL1968127,O00311,3.100001583,Cluster_454,Cluster_21
CHEMBL1968380,O00311,3.100001583,Cluster_389,Cluster_21
CHEMBL1968459,O00311,0.800029359,Cluster_113,Cluster_21
CHEMBL1968705,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1968791,O00311,3.100001583,Cluster_335,Cluster_21
CHEMBL1968930,O00311,0.0,Cluster_482,Cluster_21
CHEMBL1969049,O00311,3.100001583,Cluster_280,Cluster_21
CHEMBL1969126,O00311,3.100001583,Cluster_112,Cluster_21
CHEMBL1969190,O00311,3.100001583,Cluster_548,Cluster_21
CHEMBL1969301,O00311,3.100001583,Cluster_533,Cluster_21
CHEMBL1969502,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1969523,O00311,2.099991234,Cluster_342,Cluster_21
CHEMBL1969537,O00311,2.900000965,Cluster_340,Cluster_21
CHEMBL1969735,O00311,3.100001583,Cluster_454,Cluster_21
CHEMBL1969843,O00311,2.099991234,Cluster_115,Cluster_21
CHEMBL1969879,O00311,3.100001583,Cluster_89,Cluster_21
CHEMBL1970104,O00311,3.100001583,Cluster_366,Cluster_21
CHEMBL1970142,O00311,3.100001583,Cluster_514,Cluster_21
CHEMBL1970203,O00311,3.100001583,Cluster_57,Cluster_21
CHEMBL1970217,O00311,3.100001583,Cluster_280,Cluster_21
CHEMBL1970314,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1970522,O00311,1.899984563,Cluster_59,Cluster_21
CHEMBL1970709,O00311,3.100001583,Cluster_611,Cluster_21
CHEMBL1970913,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1971021,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1971029,O00311,2.700002397,Cluster_549,Cluster_21
CHEMBL1971141,O00311,3.100001583,Cluster_520,Cluster_21
CHEMBL1971149,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1971186,O00311,3.100001583,Cluster_468,Cluster_21
CHEMBL1971649,O00311,3.100001583,Cluster_106,Cluster_21
CHEMBL1971943,O00311,2.300008203,Cluster_221,Cluster_21
CHEMBL1972142,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1972290,O00311,0.399673721,Cluster_114,Cluster_21
CHEMBL1972339,O00311,-0.400116928,Cluster_220,Cluster_21
CHEMBL1972576,O00311,3.100001583,Cluster_372,Cluster_21
CHEMBL1972584,O00311,3.100001583,Cluster_122,Cluster_21
CHEMBL1972659,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1972937,O00311,3.100001583,Cluster_59,Cluster_21
CHEMBL1972988,O00311,2.300008203,Cluster_113,Cluster_21
CHEMBL1973098,O00311,2.0,Cluster_60,Cluster_21
CHEMBL1973145,O00311,3.100001583,Cluster_518,Cluster_21
CHEMBL1973348,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1973483,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1973720,O00311,-0.500312917,Cluster_61,Cluster_21
CHEMBL1973808,O00311,3.100001583,Cluster_527,Cluster_21
CHEMBL1973937,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1973961,O00311,2.900000965,Cluster_290,Cluster_21
CHEMBL1974254,O00311,3.100001583,Cluster_429,Cluster_21
CHEMBL1974310,O00311,2.900000965,Cluster_346,Cluster_21
CHEMBL1974328,O00311,1.800029359,Cluster_303,Cluster_21
CHEMBL1974416,O00311,3.100001583,Cluster_318,Cluster_21
CHEMBL1974664,O00311,3.100001583,Cluster_522,Cluster_21
CHEMBL1974702,O00311,3.100001583,Cluster_326,Cluster_21
CHEMBL1974870,O00311,-0.100179498,Cluster_255,Cluster_21
CHEMBL1975121,O00311,3.100001583,Cluster_269,Cluster_21
CHEMBL1975138,O00311,3.100001583,Cluster_604,Cluster_21
CHEMBL1975233,O00311,3.100001583,Cluster_446,Cluster_21
CHEMBL1975490,O00311,3.100001583,Cluster_250,Cluster_21
CHEMBL1975500,O00311,3.100001583,Cluster_46,Cluster_21
CHEMBL1975534,O00311,3.100001583,Cluster_160,Cluster_21
CHEMBL1976090,O00311,2.900000965,Cluster_360,Cluster_21
CHEMBL1976093,O00311,3.100001583,Cluster_454,Cluster_21
CHEMBL1976134,O00311,3.100001583,Cluster_610,Cluster_21
CHEMBL1976220,O00311,3.100001583,Cluster_324,Cluster_21
CHEMBL1976240,O00311,3.100001583,Cluster_269,Cluster_21
CHEMBL1976420,O00311,2.300008203,Cluster_287,Cluster_21
CHEMBL1976455,O00311,3.100001583,Cluster_614,Cluster_21
CHEMBL1976936,O00311,0.0,Cluster_61,Cluster_21
CHEMBL1977128,O00311,0.100370545,Cluster_456,Cluster_21
CHEMBL1977148,O00311,3.100001583,Cluster_429,Cluster_21
CHEMBL1977223,O00311,1.800029359,Cluster_148,Cluster_21
CHEMBL1977346,O00311,3.100001583,Cluster_173,Cluster_21
CHEMBL1977681,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1978014,O00311,3.100001583,Cluster_101,Cluster_21
CHEMBL1978099,O00311,3.100001583,Cluster_597,Cluster_21
CHEMBL1978200,O00311,3.100001583,Cluster_199,Cluster_21
CHEMBL1978448,O00311,2.0,Cluster_-1,Cluster_21
CHEMBL1979057,O00311,3.100001583,Cluster_155,Cluster_21
CHEMBL1979093,O00311,3.100001583,Cluster_548,Cluster_21
CHEMBL1979252,O00311,3.100001583,Cluster_171,Cluster_21
CHEMBL1979357,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1979516,O00311,3.100001583,Cluster_76,Cluster_21
CHEMBL1979577,O00311,3.100001583,Cluster_561,Cluster_21
CHEMBL1979883,O00311,3.100001583,Cluster_561,Cluster_21
CHEMBL1979970,O00311,3.100001583,Cluster_148,Cluster_21
CHEMBL1980144,O00311,3.100001583,Cluster_520,Cluster_21
CHEMBL1980163,O00311,3.100001583,Cluster_490,Cluster_21
CHEMBL1980178,O00311,-0.100179498,Cluster_225,Cluster_21
CHEMBL1980253,O00311,-0.500312917,Cluster_151,Cluster_21
CHEMBL1980297,O00311,3.100001583,Cluster_133,Cluster_21
CHEMBL1980435,O00311,-0.100179498,Cluster_403,Cluster_21
CHEMBL1980540,O00311,3.100001583,Cluster_616,Cluster_21
CHEMBL1980562,O00311,-0.600326279,Cluster_152,Cluster_21
CHEMBL1980592,O00311,1.2999429,Cluster_592,Cluster_21
CHEMBL1980704,O00311,3.100001583,Cluster_371,Cluster_21
CHEMBL1980896,O00311,3.100001583,Cluster_188,Cluster_21
CHEMBL1981047,O00311,3.100001583,Cluster_379,Cluster_21
CHEMBL1981079,O00311,-0.400116928,Cluster_357,Cluster_21
CHEMBL1981511,O00311,2.099991234,Cluster_46,Cluster_21
CHEMBL1981720,O00311,3.100001583,Cluster_589,Cluster_21
CHEMBL1981725,O00311,3.100001583,Cluster_107,Cluster_21
CHEMBL1981782,O00311,3.100001583,Cluster_611,Cluster_21
CHEMBL1982271,O00311,-0.500312917,Cluster_550,Cluster_21
CHEMBL1982383,O00311,3.100001583,Cluster_454,Cluster_21
CHEMBL1982466,O00311,3.100001583,Cluster_429,Cluster_21
CHEMBL1982506,O00311,3.100001583,Cluster_209,Cluster_21
CHEMBL1982563,O00311,3.100001583,Cluster_483,Cluster_21
CHEMBL1982610,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1982866,O00311,3.100001583,Cluster_490,Cluster_21
CHEMBL1982874,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1982924,O00311,3.100001583,Cluster_403,Cluster_21
CHEMBL1982982,O00311,2.200001865,Cluster_586,Cluster_21
CHEMBL1983111,O00311,2.500003068,Cluster_193,Cluster_21
CHEMBL1983268,O00311,2.900000965,Cluster_72,Cluster_21
CHEMBL1983534,O00311,3.100001583,Cluster_409,Cluster_21
CHEMBL1983589,O00311,0.100370545,Cluster_61,Cluster_21
CHEMBL1983932,O00311,3.100001583,Cluster_498,Cluster_21
CHEMBL1983945,O00311,3.0,Cluster_499,Cluster_21
CHEMBL1983963,O00311,3.100001583,Cluster_520,Cluster_21
CHEMBL1984038,O00311,3.100001583,Cluster_48,Cluster_21
CHEMBL1984162,O00311,3.100001583,Cluster_101,Cluster_21
CHEMBL1984191,O00311,3.100001583,Cluster_436,Cluster_21
CHEMBL1984363,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1984367,O00311,3.100001583,Cluster_536,Cluster_21
CHEMBL1984548,O00311,0.699837726,Cluster_407,Cluster_21
CHEMBL1984586,O00311,3.100001583,Cluster_520,Cluster_21
CHEMBL1984700,O00311,3.100001583,Cluster_475,Cluster_21
CHEMBL1985095,O00311,2.099991234,Cluster_495,Cluster_21
CHEMBL1985153,O00311,1.499961866,Cluster_401,Cluster_21
CHEMBL1985406,O00311,3.100001583,Cluster_148,Cluster_21
CHEMBL1985723,O00311,0.800029359,Cluster_99,Cluster_21
CHEMBL1986139,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1986186,O00311,2.800001828,Cluster_513,Cluster_21
CHEMBL1986263,O00311,1.400019635,Cluster_-1,Cluster_21
CHEMBL1986499,O00311,0.198657087,Cluster_240,Cluster_21
CHEMBL1986530,O00311,3.100001583,Cluster_439,Cluster_21
CHEMBL1986597,O00311,3.100001583,Cluster_63,Cluster_21
CHEMBL1986781,O00311,3.100001583,Cluster_217,Cluster_21
CHEMBL1986869,O00311,3.100001583,Cluster_267,Cluster_21
CHEMBL1986943,O00311,-0.801342913,Cluster_61,Cluster_21
CHEMBL1987009,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1987034,O00311,1.499961866,Cluster_578,Cluster_21
CHEMBL1987261,O00311,0.301029996,Cluster_99,Cluster_21
CHEMBL1987359,O00311,3.100001583,Cluster_209,Cluster_21
CHEMBL1987448,O00311,0.198657087,Cluster_113,Cluster_21
CHEMBL1987679,O00311,3.100001583,Cluster_501,Cluster_21
CHEMBL1987745,O00311,1.2999429,Cluster_554,Cluster_21
CHEMBL1987793,O00311,2.700002397,Cluster_391,Cluster_21
CHEMBL1987910,O00311,3.100001583,Cluster_293,Cluster_21
CHEMBL1987948,O00311,-0.199970641,Cluster_152,Cluster_21
CHEMBL1988075,O00311,3.100001583,Cluster_203,Cluster_21
CHEMBL1988163,O00311,1.599992178,Cluster_424,Cluster_21
CHEMBL1988173,O00311,2.400002346,Cluster_604,Cluster_21
CHEMBL1988300,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1988387,O00311,3.100001583,Cluster_203,Cluster_21
CHEMBL1988437,O00311,3.100001583,Cluster_234,Cluster_21
CHEMBL1988537,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1988594,O00311,3.100001583,Cluster_293,Cluster_21
CHEMBL1988608,O00311,3.100001583,Cluster_597,Cluster_21
CHEMBL1988717,O00311,3.100001583,Cluster_203,Cluster_21
CHEMBL1989805,O00311,2.300008203,Cluster_252,Cluster_21
CHEMBL1990162,O00311,0.499687083,Cluster_456,Cluster_21
CHEMBL1990288,O00311,3.100001583,Cluster_319,Cluster_21
CHEMBL1990482,O00311,2.800001828,Cluster_461,Cluster_21
CHEMBL1990496,O00311,3.100001583,Cluster_584,Cluster_21
CHEMBL1990884,O00311,3.100001583,Cluster_139,Cluster_21
CHEMBL1991138,O00311,3.100001583,Cluster_185,Cluster_21
CHEMBL1991188,O00311,3.100001583,Cluster_280,Cluster_21
CHEMBL1991395,O00311,3.100001583,Cluster_482,Cluster_21
CHEMBL1991410,O00311,0.399673721,Cluster_443,Cluster_21
CHEMBL1991429,O00311,3.100001583,Cluster_575,Cluster_21
CHEMBL1991674,O00311,0.0,Cluster_61,Cluster_21
CHEMBL1991678,O00311,3.100001583,Cluster_198,Cluster_21
CHEMBL1991800,O00311,3.100001583,Cluster_454,Cluster_21
CHEMBL1992220,O00311,-0.698970004,Cluster_217,Cluster_21
CHEMBL1992242,O00311,3.100001583,Cluster_58,Cluster_21
CHEMBL1992323,O00311,1.899984563,Cluster_-1,Cluster_21
CHEMBL1992342,O00311,3.100001583,Cluster_524,Cluster_21
CHEMBL1992363,O00311,-0.500312917,Cluster_536,Cluster_21
CHEMBL1992634,O00311,3.100001583,Cluster_466,Cluster_21
CHEMBL1992740,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1992937,O00311,3.100001583,Cluster_408,Cluster_21
CHEMBL1993413,O00311,0.198657087,Cluster_443,Cluster_21
CHEMBL1993424,O00311,3.100001583,Cluster_424,Cluster_21
CHEMBL1993584,O00311,3.0,Cluster_502,Cluster_21
CHEMBL1993661,O00311,0.699837726,Cluster_-1,Cluster_21
CHEMBL1993722,O00311,2.400002346,Cluster_221,Cluster_21
CHEMBL1993941,O00311,3.100001583,Cluster_203,Cluster_21
CHEMBL1994040,O00311,3.100001583,Cluster_483,Cluster_21
CHEMBL1994074,O00311,3.100001583,Cluster_467,Cluster_21
CHEMBL1994438,O00311,0.699837726,Cluster_105,Cluster_21
CHEMBL1994526,O00311,3.100001583,Cluster_239,Cluster_21
CHEMBL1994669,O00311,0.399673721,Cluster_407,Cluster_21
CHEMBL1995712,O00311,0.301029996,Cluster_550,Cluster_21
CHEMBL1995740,O00311,3.100001583,Cluster_46,Cluster_21
CHEMBL1995813,O00311,1.0,Cluster_105,Cluster_21
CHEMBL1995832,O00311,3.100001583,Cluster_198,Cluster_21
CHEMBL1996048,O00311,2.900000965,Cluster_-1,Cluster_21
CHEMBL1996500,O00311,3.100001583,Cluster_199,Cluster_21
CHEMBL1996791,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1996817,O00311,1.599992178,Cluster_467,Cluster_21
CHEMBL1996831,O00311,2.500003068,Cluster_-1,Cluster_21
CHEMBL1996979,O00311,3.100001583,Cluster_318,Cluster_21
CHEMBL1996980,O00311,-0.500312917,Cluster_216,Cluster_21
CHEMBL1997023,O00311,1.599992178,Cluster_310,Cluster_21
CHEMBL1997129,O00311,2.0,Cluster_125,Cluster_21
CHEMBL1997340,O00311,3.100001583,Cluster_440,Cluster_21
CHEMBL1997597,O00311,3.100001583,Cluster_524,Cluster_21
CHEMBL1997822,O00311,3.100001583,Cluster_470,Cluster_21
CHEMBL1997846,O00311,0.301029996,Cluster_-1,Cluster_21
CHEMBL1998112,O00311,3.100001583,Cluster_205,Cluster_21
CHEMBL1998121,O00311,2.700002397,Cluster_527,Cluster_21
CHEMBL1998159,O00311,1.0,Cluster_255,Cluster_21
CHEMBL1998193,O00311,3.100001583,Cluster_599,Cluster_21
CHEMBL1998432,O00311,0.0,Cluster_61,Cluster_21
CHEMBL1998470,O00311,-0.100179498,Cluster_105,Cluster_21
CHEMBL1998585,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL1998611,O00311,2.500003068,Cluster_-1,Cluster_21
CHEMBL1999112,O00311,3.100001583,Cluster_252,Cluster_21
CHEMBL1999321,O00311,3.100001583,Cluster_171,Cluster_21
CHEMBL1999590,O00311,3.100001583,Cluster_135,Cluster_21
CHEMBL1999714,O00311,3.100001583,Cluster_260,Cluster_21
CHEMBL1999718,O00311,3.100001583,Cluster_455,Cluster_21
CHEMBL1999811,O00311,2.900000965,Cluster_-1,Cluster_21
CHEMBL2000071,O00311,2.600003087,Cluster_467,Cluster_21
CHEMBL2000114,O00311,3.100001583,Cluster_-1,Cluster_21
CHEMBL2000335,O00311,3.100001583,Cluster_373,Cluster_21
CHEMBL2000354,O00311,1.700011062,Cluster_59,Cluster_21
CHEMBL2000393,O00311,3.100001583,Cluster_399,Cluster_21
CHEMBL2000429,O00311,3.100001583,Cluster_475,Cluster_21
CHEMBL2000801,O00311,3.100001583,Cluster_594,Cluster_21
CHEMBL2000832,O00311,3.100001583,Cluster_47,Cluster_21
CHEMBL2000894,O00311,3.100001583,Cluster_445,Cluster_21
CHEMBL2001239,O00311,3.100001583,Cluster_220,Cluster_21
CHEMBL2001477,O00311,2.0,Cluster_586,Cluster_21
CHEMBL2001485,O00311,3.100001583,Cluster_561,Cluster_21
CHEMBL2001547,O00311,3.100001583,Cluster_199,Cluster_21
CHEMBL2001751,O00311,2.400002346,Cluster_394,Cluster_21
CHEMBL2001920,O00311,3.100001583,Cluster_307,Cluster_21
CHEMBL2001957,O00311,3.100001583,Cluster_510,Cluster_21
CHEMBL2002446,O00311,3.100001583,Cluster_192,Cluster_21
CHEMBL2002479,O00311,3.100001583,Cluster_250,Cluster_21
CHEMBL2002613,O00311,-0.400116928,Cluster_-1,Cluster_21
CHEMBL2002649,O00311,3.100001583,Cluster_209,Cluster_21
CHEMBL2002992,O00311,3.100001583,Cluster_239,Cluster_21
CHEMBL2003229,O00311,1.10002573,Cluster_132,Cluster_21
CHEMBL2003271,O00311,2.500003068,Cluster_357,Cluster_21
CHEMBL2003286,O00311,2.400002346,Cluster_60,Cluster_21
CHEMBL2003420,O00311,3.100001583,Cluster_599,Cluster_21
CHEMBL2003456,O00311,3.100001583,Cluster_438,Cluster_21
CHEMBL2003482,O00311,3.100001583,Cluster_600,Cluster_21
CHEMBL2003817,O00311,3.100001583,Cluster_614,Cluster_21
